DensityIndex,Rank,Name,POP2010,AREAkm,AREAmi,Density
402,317,"Charlottesville, VA",92359,89.50,34.60,1031.9441340782123
403,58,"Omaha, NE—IA",725008,702.40,271.20,1032.1867881548976
404,36,"Columbus, OH",1368035,1322.10,510.50,1034.7439679298086
405,243,"Bloomington--Normal, IL",132600,127.40,49.20,1040.8163265306123
406,239,"Racine, WI",133700,128.00,49.40,1044.53125
407,219,"New Bedford, MA",149443,142.70,55.10,1047.2529782761037
408,87,"Murrieta--Temecula--Menifee, CA",441546,418.90,161.70,1054.0606349964191
409,5,"Philadelphia, PA—NJ—DE—MD",5441567,5131.70,1981.40,1060.382914044079
410,11,"Detroit, MI",3734090,3463.20,1337.20,1078.2195657195657
411,34,"Virginia Beach, VA",1439666,1335.00,515.50,1078.4014981273408
412,204,"Santa Cruz, CA",163703,151.10,58.40,1083.4083388484448
413,128,"Trenton, NJ",296668,273.40,105.60,1085.1060716898319
414,151,"Eugene, OR",247421,224.70,86.80,1101.1170449488206
415,306,"Chico, CA",98176,89.10,34.40,1101.8630751964085
416,264,"Greeley, CO",117825,106.80,41.20,1103.2303370786517
417,82,"Provo--Orem, UT",482819,437.60,169.00,1103.3340950639854
418,6,"Dallas--Fort Worth--Arlington, TX",5121892,4607.90,1779.10,1111.545823477072
419,235,"Merced, CA",136969,123.10,47.50,1112.6645004061738
420,332,"Lawrence, KS",88053,78.80,30.40,1117.4238578680204
421,447,"San Luis Obispo, CA",59219,52.90,20.40,1119.4517958412098
422,277,"Kailua (Honolulu County)--Kaneohe, HI",113682,101.10,39.00,1124.4510385756678
423,145,"Lincoln, NE",258719,229.10,88.50,1129.2841553906592
424,26,"San Antonio, TX",1758210,1546.50,597.10,1136.8962172647914
425,276,"Seaside--Monterey, CA",114237,100.20,38.70,1140.0898203592815
426,112,"Lancaster--Palmdale, CA",341219,299.10,115.50,1140.819124038783
427,436,"Corvallis, OR",62433,54.70,21.10,1141.3711151736745
428,149,"Anchorage, AK",251243,220.10,85.00,1141.4947751022262
429,56,"Albuquerque, NM",741318,649.00,250.60,1142.246533127889
430,73,"Colorado Springs, CO",559409,486.50,187.80,1149.8643371017472
431,7,"Houston, TX",4944332,4299.40,1660.00,1150.005116993069
432,428,"Petaluma, CA",64078,55.20,21.30,1160.8333333333333
433,270,"Yuba City, CA",116719,100.10,38.70,1166.023976023976
434,66,"Concord, CA",615968,527.70,203.80,1167.2692817888951
435,14,"Seattle, WA",3059393,2616.70,1010.30,1169.1798830588145
436,335,"State College, PA",87454,74.70,28.80,1170.7362784471218
437,19,"Baltimore, MD",2203663,1857.10,717.00,1186.615152657369
438,224,"Champaign, IL",145361,121.50,46.90,1196.3868312757202
439,156,"Salem, OR",236632,196.60,75.90,1203.6215666327569
440,123,"Santa Rosa, CA",308231,253.80,98.00,1214.4641449960598
441,12,"Phoenix--Mesa, AZ",3629114,2969.60,1146.60,1222.0884967672414
442,333,"Hanford, CA",87941,71.90,27.70,1223.1015299026424
443,53,"El Paso, TX—NM",803086,649.00,250.60,1237.4206471494608
444,378,"Watsonville, CA",73534,59.20,22.80,1242.1283783783783
445,342,"Napa, CA",83913,66.90,25.80,1254.3049327354258
446,386,"Camarillo, CA",71772,57.00,22.00,1259.157894736842
447,131,"Lexington-Fayette, KY",290263,226.70,87.50,1280.3837670930745
448,205,"Hemet, CA",163379,127.20,49.10,1284.4261006289307
449,351,"Livermore, CA",81624,63.40,24.50,1287.4447949526814
450,463,"Kahului, HI",55934,43.20,16.70,1294.7685185185185
451,146,"Santa Clarita, CA",258653,198.70,76.70,1301.7262204328133
452,240,"Fairfield, CA",133683,102.20,39.50,1308.0528375733854
453,218,"Ponce, PR",149539,114.30,44.10,1308.3027121609798
454,314,"Vacaville, CA",93141,71.00,27.40,1311.8450704225352
455,137,"Antioch, CA",277634,210.70,81.40,1317.6744186046512
456,394,"Porterville, CA",70272,53.10,20.50,1323.3898305084745
457,162,"Visalia, CA",219454,164.30,63.40,1335.6908094948265
458,320,"Longmont, CO",90897,67.90,26.20,1338.6892488954343
459,8,"Washington, DC—VA—MD",4586770,3423.30,1321.70,1339.867963660795
460,362,"Madera, CA",78413,58.00,22.40,1351.948275862069
461,184,"Santa Barbara, CA",195861,144.60,55.90,1354.5020746887967
462,3,"Chicago, IL—IN",8608208,6326.70,2442.80,1360.6158028672137
463,24,"Portland, OR—WA",1849898,1358.10,524.40,1362.1220823208896
464,274,"Boulder, CO",114591,84.10,32.50,1362.5564803804996
465,22,"Riverside--San Bernardino, CA",1932666,1411.50,545.00,1369.2284803400637
466,18,"Denver--Aurora, CO",2374203,1730.00,668.00,1372.371676300578
467,49,"New Orleans, LA",899703,651.10,251.40,1381.8199969282753
468,289,"El Centro--Calexico, CA",107672,77.70,30.00,1385.7400257400257
469,157,"Laredo, TX",235730,170.10,65.70,1385.8318636096415
470,28,"Sacramento, CA",1723634,1219.80,471.00,1413.0464010493524
471,42,"Salt Lake City--West Valley City, UT",1021243,719.70,277.90,1418.9842990134778
472,188,"Salinas, CA",184809,126.80,49.00,1457.4842271293376
473,79,"Bakersfield, CA",523994,358.60,138.40,1461.2214166201895
474,63,"Fresno, CA",654628,443.60,171.30,1475.7168620378718
475,345,"Manteca, CA",83578,56.50,21.80,1479.2566371681417
476,300,"Turlock, CA",99904,66.80,25.80,1495.5688622754492
477,69,"Mission Viejo--Lake Forest--San Clemente, CA",583681,389.90,150.50,1497.0017953321365
478,105,"Modesto, CA",358172,238.00,91.90,1504.9243697478992
479,203,"Vallejo, CA",165074,108.80,42.00,1517.2242647058824
480,334,"Tracy, CA",87569,57.60,22.30,1520.295138888889
481,254,"Simi Valley, CA",125206,81.40,31.40,1538.157248157248
482,102,"Stockton, CA",370583,239.60,92.50,1546.6736227045076
483,15,"San Diego, CA",2956746,1896.90,732.40,1558.7252886288154
484,403,"Lodi, CA",68738,41.20,15.90,1668.398058252427
485,103,"Oxnard, CA",367260,218.60,84.40,1680.0548947849954
486,4,"Miami, FL",5502379,3208.00,1238.60,1715.2054239401496
487,246,"Santa Maria, CA",130447,75.40,29.10,1730.0663129973473
488,23,"Las Vegas--Henderson, NV",1886011,1079.60,416.80,1746.9535012967767
489,465,"Woodland, CA",55513,31.60,12.20,1756.740506329114
490,54,"Urban Honolulu, HI",802459,440.70,170.20,1820.8736101656457
491,485,"Lompoc, CA",51509,27.70,10.70,1859.5306859205778
492,382,"Davis, CA",72794,36.60,14.10,1988.9071038251366
493,1,"New York--Newark, NY—NJ—CT",18351295,8936.00,3450.20,2053.6364145031334
494,471,"Delano, CA",54372,25.70,9.90,2115.6420233463036
495,29,"San Jose, CA",1664496,740.70,286.00,2247.1931956257595
496,13,"San Francisco--Oakland, CA",3281212,1356.20,523.60,2419.4160153369708
497,2,"Los Angeles--Long Beach--Anaheim, CA",12150996,4496.30,1736.00,2702.4433423036717
