['DensityIndex', 'Rank', 'Name', 'POP2010', 'AREAkm', 'AREAmi', 'Density']
405,26,"San Antonio, TX",1758210,1546.50,597.10,1136.8962172647914
406,28,"Sacramento, CA",1723634,1219.80,471.00,1413.0464010493524
407,29,"San Jose, CA",1664496,740.70,286.00,2247.1931956257595
408,31,"Kansas City, MO—KS",1519417,1755.60,677.80,865.4687856003646
409,40,"Jacksonville, FL",1065219,1373.60,530.40,775.4943214909727
410,42,"Salt Lake City--West Valley City, UT",1021243,719.70,277.90,1418.9842990134778
411,44,"Nashville-Davidson, TN",969587,1459.40,563.50,664.373715225435
412,47,"Hartford, CT",924859,1337.10,516.30,691.6902251140529
413,50,"Raleigh, NC",884891,1342.00,518.10,659.3822652757079
414,59,"Dayton, OH",724091,910.20,351.40,795.529553944188
415,64,"Sarasota--Bradenton, FL",643260,846.10,326.70,760.2647441200803
416,68,"Baton Rouge, LA",594309,950.00,366.80,625.5884210526316
417,78,"Cape Coral, FL",530290,855.50,330.30,619.8597311513735
418,79,"Bakersfield, CA",523994,358.60,138.40,1461.2214166201895
419,84,"Palm Bay--Melbourne, FL",452791,600.80,232.00,753.6468042609854
420,86,"Harrisburg, PA",444474,672.60,259.70,660.8296164139161
421,91,"Lancaster, PA",402004,641.10,247.50,627.053501793792
422,92,"Madison, WI",401661,391.10,151.00,1027.0033239580669
423,57,"McAllen, TX",728825,927.20,358.00,786.0493960310612
424,99,"Scranton-Wilkes-Barre, Pennsylvania",381502,442.30,170.80,862.541261587158
425,11,"Detroit, MI",3734090,3463.20,1337.20,1078.2195657195657
426,14,"Seattle, WA",3059393,2616.70,1010.30,1169.1798830588145
427,18,"Denver--Aurora, CO",2374203,1730.00,668.00,1372.371676300578
428,41,"Memphis, TN—MS—AR",1060061,1288.00,497.30,823.0287267080745
429,49,"New Orleans, LA",899703,651.10,251.40,1381.8199969282753
430,72,"New Haven, CT",562839,792.80,306.10,709.9381937436933
431,85,"Des Moines, IA",450070,519.50,200.60,866.3522617901829
432,94,"Reno, NV—CA",392141,425.70,164.40,921.1674888419075
433,77,"Ogden--Layton, UT",546026,563.50,217.60,968.9902395740905
434,12,"Phoenix--Mesa, AZ",3629114,2969.60,1146.60,1222.0884967672414
435,38,"Charlotte, NC—SC",1249442,1920.50,741.50,650.5816193699558
436,76,"Charleston--North Charleston, SC",548404,759.80,293.40,721.7741510923928
437,3,"Chicago, IL—IN",8608208,6326.70,2442.80,1360.6158028672137
438,5,"Philadelphia, PA—NJ—DE—MD",5441567,5131.70,1981.40,1060.382914044079
439,16,"Minneapolis--St. Paul, MN—WI",2650890,2646.50,1021.80,1001.6587946344229
440,22,"Riverside--San Bernardino, CA",1932666,1411.50,545.00,1369.2284803400637
441,27,"Pittsburgh, PA",1733853,2344.40,905.20,739.5721719843029
442,30,"Cincinnati, OH—KY—IN",1624827,2040.20,787.70,796.4057445348495
443,34,"Virginia Beach, VA",1439666,1335.00,515.50,1078.4014981273408
444,35,"Milwaukee, WI",1376476,1413.20,545.60,974.0135861873762
445,45,"Richmond, VA",953556,1274.70,492.20,748.0630736643916
446,55,"Birmingham, AL",749495,1372.40,529.90,546.1199358787525
447,69,"Mission Viejo--Lake Forest--San Clemente, CA",583681,389.90,150.50,1497.0017953321365
448,83,"Wichita, KS",472870,556.20,214.70,850.1797914419273
449,88,"Little Rock, AR",431388,669.00,258.30,644.8251121076233
450,95,"Winston-Salem, NC",391024,835.50,322.60,468.01196888090965
451,51,"Oklahoma City, OK",861505,1063.50,410.60,810.0658204043253
452,71,"Akron, OH",569499,842.70,325.40,675.8027767888929
453,6,"Dallas--Fort Worth--Arlington, TX",5121892,4607.90,1779.10,1111.545823477072
454,9,"Atlanta, GA",4515419,6851.40,2645.40,659.0505590098375
455,25,"Cleveland, OH",1780673,1999.40,772.00,890.6036811043313
456,53,"El Paso, TX—NM",803086,649.00,250.60,1237.4206471494608
457,56,"Albuquerque, NM",741318,649.00,250.60,1142.246533127889
458,61,"Allentown, PA—NJ",664651,896.90,346.30,741.0536291671312
459,67,"Albany--Schenectady, NY",594962,765.90,295.70,776.8142055098577
460,58,"Omaha, NE—IA",725008,702.40,271.20,1032.1867881548976
461,33,"Indianapolis, IN",1487483,1827.90,705.70,813.7660703539581
462,74,"Knoxville, TN",558696,1134.80,438.20,492.3299259781459
463,10,"Boston, MA—NH—RI",4181019,4852.20,1873.50,861.6749103499444
464,24,"Portland, OR—WA",1849898,1358.10,524.40,1362.1220823208896
465,36,"Columbus, OH",1368035,1322.10,510.50,1034.7439679298086
466,43,"Louisville/Jefferson County, KY—IN",972546,1234.70,476.70,787.6779784563051
467,60,"Rochester, NY",720572,840.40,324.50,857.415516420752
468,66,"Concord, CA",615968,527.70,203.80,1167.2692817888951
469,73,"Colorado Springs, CO",559409,486.50,187.80,1149.8643371017472
470,75,"Columbia, SC",549777,984.30,380.00,558.5461749466626
471,80,"Toledo, OH—MI",507643,622.70,240.40,815.2288421390717
472,81,"Worcester, MA—CT",486514,787.60,304.10,617.7171152869477
473,89,"Poughkeepsie--Newburgh, NY—NJ",423566,847.30,327.10,499.90086156025023
474,97,"Youngstown, OH—PA",387550,624.40,241.10,620.6758488148623
475,65,"Springfield, MA—CT",621300,902.80,348.60,688.1922906513071
476,96,"Spokane, WA",387847,425.30,164.20,911.9374559134728
477,32,"Orlando, FL",1510516,1548.00,597.70,975.7855297157623
478,39,"Providence, RI—MA",1190956,1411.70,545.10,843.6324998229085
479,48,"Bridgeport--Stamford, CT—NY",923311,1207.50,466.20,764.6467908902691
480,54,"Urban Honolulu, HI",802459,440.70,170.20,1820.8736101656457
481,63,"Fresno, CA",654628,443.60,171.30,1475.7168620378718
482,70,"Grand Rapids, MI",569935,726.70,280.60,784.2782441172423
483,82,"Provo--Orem, UT",482819,437.60,169.00,1103.3340950639854
484,93,"Greenville, SC",400492,829.40,320.30,482.8695442488546
485,2,"Los Angeles--Long Beach--Anaheim, CA",12150996,4496.30,1736.00,2702.4433423036717
486,8,"Washington, DC—VA—MD",4586770,3423.30,1321.70,1339.867963660795
487,20,"St. Louis, MO—IL",2150706,2392.20,923.60,899.0494105843993
488,7,"Houston, TX",4944332,4299.40,1660.00,1150.005116993069
489,37,"Austin, TX",1362416,1354.70,523.00,1005.6957259909943
490,46,"Buffalo, NY",935906,984.00,379.90,951.1239837398374
491,52,"Tucson, AZ",843168,915.50,353.50,920.991807755325
492,62,"Tulsa, OK",655479,870.00,335.90,753.4241379310345
493,87,"Murrieta--Temecula--Menifee, CA",441546,418.90,161.70,1054.0606349964191
494,98,"Augusta-Richmond County, GA—SC",386787,672.20,259.50,575.4046414757512
495,1,"New York--Newark, NY—NJ—CT",18351295,8936.00,3450.20,2053.6364145031334
496,90,"Syracuse, NY",412317,504.90,194.90,816.6310160427807
